id,type,classification,road_segment_type,duration,street_name_full,line_weight,route_coming_soon,construction_year,geometry_line
1391,OFF ROAD,Shared Trail,,510,,1,false,,"MULTILINESTRING ((-113.60433032160866 53.47947891084089, -113.60434445292006 53.47954036819675, -113.60442451996568 53.47962835999058, -113.60455947985666 53.47974395143239, -113.60465937558956 53.47986216117144, -113.60477582132937 53.47998911531165, -113.60485031739118 53.48012634140119, -113.60490959960543 53.48026936191226, -113.60498787176445 53.48040187962, -113.60508016709392 53.48054383724511, -113.60514340989116 53.48063837317801, -113.60517539684002 53.480683210091485, -113.6052681819847 53.48078451011473))"
1392,OFF ROAD,Shared Trail,,1810,,1,false,,"MULTILINESTRING ((-113.62448783050793 53.48232139295931, -113.62457117309462 53.48231869186687, -113.62477963285116 53.48231283102898), (-113.61918460416348 53.481435534923975, -113.61924095456804 53.481448586936274, -113.61933894079144 53.48145037683632, -113.61940898585121 53.481436054342524, -113.6194881952921 53.48139591653099, -113.6195816709236 53.481365995286396, -113.61967703339009 53.481341301931074, -113.6197375301029 53.48133077043409, -113.61983241846747 53.48131693579252, -113.61993518540294 53.48130429803013, -113.61998707622816 53.4812992742416, -113.62012021318817 53.48129435760244, -113.62028150986178 53.481292861724846, -113.62042183426448 53.481310510081, -113.62055661057701 53.48136004729998, -113.62069311300004 53.48142250654294, -113.62082301657655 53.4814837027742, -113.6209708133391 53.481529518220604, -113.62115572292066 53.481569683759055, -113.62131517443977 53.481597205433545, -113.62144398874808 53.48162615922554, -113.62155519707748 53.48166190427086, -113.62167571765022 53.481730097574264, -113.62175802338251 53.48181468697829, -113.62185671160327 53.48190577360834, -113.62198348712893 53.48198074508081, -113.62210955241248 53.48204531079509, -113.62222652056498 53.482111638638, -113.62234918564525 53.48217653976021, -113.62251683608032 53.482217569951054, -113.6227195997357 53.4822325604315, -113.62292611429835 53.48225026735322, -113.62313167176221 53.48226235830983, -113.62333784200895 53.48228967817259, -113.62353459567599 53.48231226199283, -113.62374008020412 53.482320080502795, -113.6239287801252 53.482322152182014, -113.62412969143028 53.482319655442595, -113.62425739622333 53.48232221284505, -113.62432601560958 53.482320983946074, -113.62440233794263 53.482323390730656, -113.62444698456706 53.48232162945564, -113.62445017979415 53.48232150314262, -113.62445325139628 53.48232138381148))"
1393,OFF ROAD,Shared Trail,,591,,1,false,,"MULTILINESTRING ((-113.62477963285116 53.48231283102898, -113.62494318146477 53.482424881227345, -113.62498091075119 53.48245720475282, -113.6251306643564 53.48252161679423, -113.6254709921767 53.48257470430751, -113.62582821199878 53.48268467350213, -113.62622670043599 53.48284638955741, -113.62635442310666 53.48303484196562, -113.62641878561048 53.483328405016955, -113.62639517971041 53.48353217173786, -113.62637218328807 53.48366654768555, -113.62633456059694 53.48387636960183, -113.62625180728986 53.48412590233318, -113.62616255578321 53.484265517778596, -113.62605702292004 53.484504251439034))"
1394,OFF ROAD,Shared Trail,,209,,1,false,,"MULTILINESTRING ((-113.62424289217891 53.48136196473427, -113.62465256465389 53.48160539311116, -113.62475408975615 53.4819910569428, -113.62479215280295 53.482131837598814, -113.62477963285116 53.48231283102898))"
1395,OFF ROAD,Shared Trail,,324,,1,false,,"MULTILINESTRING ((-113.62176533041804 53.478736293632565, -113.62195558433605 53.47901904357492, -113.62244931013956 53.479557087845684, -113.62293622291735 53.480089440645486, -113.62343993374209 53.48052545368495, -113.62382292312135 53.48086110829329, -113.6240374875204 53.4811653313778, -113.62424289217891 53.48136196473427))"
1396,OFF ROAD,Shared Trail,,399,,1,false,,"MULTILINESTRING ((-113.61108426091282 53.47811198651335, -113.61097274574173 53.47828600468277, -113.61089049351502 53.47844105804456, -113.61085563528823 53.47850025454019, -113.61078796948887 53.47856532161979, -113.61065786420811 53.478619803990235, -113.61040425896277 53.4786799495688, -113.61013719201951 53.47873266919396, -113.6099239295521 53.478799103357936, -113.60990737780985 53.47880468772626))"
1397,OFF ROAD,Shared Trail,,402,,1,false,,"MULTILINESTRING ((-113.60990737780985 53.47880468772626, -113.60982278461783 53.478833244773625, -113.60960977623547 53.47889544488481, -113.60946472020271 53.4789295531109, -113.60886047915885 53.479078280637786, -113.60844984218431 53.47916677071392, -113.60800363373004 53.479254420409966, -113.60764196459488 53.47931273155201, -113.60736349188363 53.479374863823196, -113.60696669156398 53.47948960726015))"
1398,OFF ROAD,Shared Trail,,855,,1,false,,"MULTILINESTRING ((-113.62605443149656 53.48450384901288, -113.62605664003593 53.48450563588315, -113.62607789525063 53.48461650583639, -113.62608196568011 53.48472976163717, -113.62607769296474 53.48484396423191, -113.62605550535476 53.48496977817548, -113.62603773387475 53.48511261321015, -113.62600962196264 53.48522213099685, -113.6259514026733 53.48533433321082, -113.62584264542885 53.48544052507328, -113.62573115504192 53.485532162723416, -113.62563953654714 53.4855955195038, -113.62550241210275 53.4856350155789, -113.62535721123001 53.4856605634295, -113.62524728405658 53.485661582342345, -113.62519593836751 53.4856596045286, -113.62515579120632 53.48566501750831, -113.62508625001973 53.48566717267396, -113.62504128839869 53.485677634002265, -113.624976801415 53.485680479354706), (-113.62605702292004 53.484504251439034, -113.62605664003593 53.48450563588315))"
1399,OFF ROAD,Shared Trail,,935,,1,false,,"MULTILINESTRING ((-113.39654840552134 53.467024059720295, -113.39662651371063 53.46704363963288, -113.3967636406452 53.467051407664115, -113.39691121103051 53.467040020642315, -113.39706886849605 53.467033740518765, -113.3971788336503 53.46704541375812, -113.39737005326451 53.46706255656856, -113.39750710880942 53.46707537957014, -113.39763764745076 53.467069971723554, -113.39778346835229 53.467062617541984, -113.39792909702832 53.46706840755526, -113.39808987314045 53.46708134940021, -113.39824565263943 53.46708819992022, -113.3983785862207 53.46708812484757, -113.39850333130558 53.46707837512635, -113.39861853661799 53.46707895497153, -113.3987283022502 53.46710478456798, -113.39884847590741 53.467113474662135, -113.39916146246085 53.467146391984194, -113.39927798896373 53.46717326483108, -113.39936567607052 53.46720302189656, -113.39945649058306 53.46725099982304, -113.39951338110711 53.46730329586336, -113.39955297964656 53.46734109191729))"
1400,OFF ROAD,Shared Trail,,1159,,1,false,,"MULTILINESTRING ((-113.3946697398266 53.465682175452535, -113.3947223941089 53.46571261345516, -113.3948199889922 53.46575961583276, -113.39490085247482 53.46579237829656, -113.3950375150904 53.465832498924534, -113.39519604751432 53.46588385222292, -113.39526198876271 53.46589328488096, -113.39539387752338 53.4659121501193, -113.39550345147998 53.46595112338468, -113.39557101314344 53.4659656202545, -113.39566588593733 53.46596610010522, -113.39576579802726 53.465969638336674, -113.39582125902821 53.46600125827278, -113.39587095468697 53.46603528868137, -113.39591491470726 53.466079641986376, -113.39594515850031 53.466243604958436, -113.39592980839069 53.46630080376783, -113.39593935589838 53.46641306838459, -113.3959785431932 53.46647346161008, -113.39601635959825 53.46652775983337, -113.39602930826192 53.46659709722537, -113.39603437200061 53.46662411002154, -113.39602212757829 53.466651344898274, -113.39600437833292 53.46670787192461, -113.39603246342467 53.466758564670705, -113.39607965367327 53.46677599125599, -113.39616750986997 53.46679361963698, -113.3963047711263 53.46679229364004, -113.39636838649042 53.466784691689384, -113.3963819791006 53.466782129072115))"
